51 lint errors found in /home/fr0609/Documents/euler/15.js
  [7,23](E020) Expected ']' to match '[' from line 7 and instead saw ','.
  [7,23](W030) Expected an assignment or function call and instead saw an expression.
  [7,24](W033) Missing semicolon.
  [7,25](W030) Expected an assignment or function call and instead saw an expression.
  [7,33](W033) Missing semicolon.
  [7,33](E030) Expected an identifier and instead saw ']'.
  [7,35](E033) Expected an operator and instead saw '='.
  [7,35](W030) Expected an assignment or function call and instead saw an expression.
  [7,36](W033) Missing semicolon.
  [7,37](W030) Expected an assignment or function call and instead saw an expression.
  [8,30](E020) Expected ']' to match '[' from line 8 and instead saw ','.
  [8,30](W030) Expected an assignment or function call and instead saw an expression.
  [8,31](W033) Missing semicolon.
  [8,31](W030) Expected an assignment or function call and instead saw an expression.
  [8,32](W033) Missing semicolon.
  [8,32](E030) Expected an identifier and instead saw ']'.
  [8,34](E033) Expected an operator and instead saw '='.
  [8,34](W030) Expected an assignment or function call and instead saw an expression.
  [8,35](W033) Missing semicolon.
  [8,36](W030) Expected an assignment or function call and instead saw an expression.
  [11,24](W004) 'i' is already defined.
  [13,27](E020) Expected ']' to match '[' from line 13 and instead saw ','.
  [13,27](W030) Expected an assignment or function call and instead saw an expression.
  [13,28](W033) Missing semicolon.
  [13,29](W030) Expected an assignment or function call and instead saw an expression.
  [13,30](W033) Missing semicolon.
  [13,30](E030) Expected an identifier and instead saw ']'.
  [13,32](E033) Expected an operator and instead saw '='.
  [13,32](W030) Expected an assignment or function call and instead saw an expression.
  [13,33](W033) Missing semicolon.
  [13,42](E020) Expected ']' to match '[' from line 13 and instead saw ','.
  [13,42](W030) Expected an assignment or function call and instead saw an expression.
  [13,43](W033) Missing semicolon.
  [13,44](W030) Expected an assignment or function call and instead saw an expression.
  [13,45](W033) Missing semicolon.
  [13,45](E030) Expected an identifier and instead saw ']'.
  [13,47](E033) Expected an operator and instead saw '+'.
  [13,47](W030) Expected an assignment or function call and instead saw an expression.
  [13,48](W033) Missing semicolon.
  [13,55](E020) Expected ']' to match '[' from line 13 and instead saw ','.
  [13,55](W030) Expected an assignment or function call and instead saw an expression.
  [13,56](W033) Missing semicolon.
  [13,59](W030) Expected an assignment or function call and instead saw an expression.
  [13,60](W033) Missing semicolon.
  [13,60](E030) Expected an identifier and instead saw ']'.
  [13,60](W030) Expected an assignment or function call and instead saw an expression.
  [17,31](E020) Expected ']' to match '[' from line 17 and instead saw ','.
  [17,33](W116) Expected ')' and instead saw '0'.
  [17,34](W033) Missing semicolon.
  [17,34](E030) Expected an identifier and instead saw ']'.
  [17,34](E043) Too many errors. (94% scanned).
